TIME,CH1,CH2,FREQ
-0.5,0.037200000000000004,0.0548,456774306079452.312500
-0.49999,0.037200000000000004,0.0572,456774306079452.312500
-0.49998,0.0356,0.055600000000000004,456774306079452.312500
-0.49997,0.0356,0.055600000000000004,456774306079452.312500
-0.49996,0.034,0.055600000000000004,456774306079452.312500
-0.49995,0.0364,0.056400000000000006,456774306079452.312500
-0.49994,0.0356,0.0572,456774306079452.312500
-0.49993,0.0356,0.058,456774306079452.312500
-0.49992,0.0364,0.0572,456774306079452.312500
-0.49991,0.034800000000000005,0.056400000000000006,456774306079452.312500
-0.4999,0.034,0.056400000000000006,456774306079452.312500
-0.49989,0.0308,0.058,456774306079452.312500
-0.49988,0.034,0.058800000000000005,456774306079452.312500
-0.49987,0.0332,0.055600000000000004,456774306079452.312500
-0.49986,0.0332,0.0596,456774306079452.312500
-0.49985,0.0324,0.05,456774306079452.312500
-0.49984,0.0292,0.0572,456774306079452.312500
-0.49983,0.0324,0.046,456774306079452.312500
-0.49982,0.0332,0.0444,456774306079452.312500
-0.49981,0.034,0.0444,456774306079452.312500
-0.4998,0.034,0.053200000000000004,456774306079452.312500
-0.49979,0.0332,0.045200000000000004,456774306079452.312500
-0.49978,0.034,0.055600000000000004,456774306079452.312500
-0.49977,0.0356,0.056400000000000006,456774306079452.312500
-0.49976,0.034800000000000005,0.0572,456774306079452.312500
-0.49975,0.0316,0.055600000000000004,456774306079452.312500
-0.49974,0.0364,0.058800000000000005,456774306079452.312500
-0.49973,0.034800000000000005,0.056400000000000006,456774306079452.312500
-0.49972,0.034,0.0548,456774306079452.312500
-0.49971,0.0356,0.058,456774306079452.312500
-0.4997,0.0316,0.058,456774306079452.312500
-0.49969,0.0324,0.058,456774306079452.312500
-0.49968,0.0236,0.0572,456774306079452.312500
-0.49967,0.0324,0.058,456774306079452.312500
-0.49966,0.026000000000000002,0.055600000000000004,456774306079452.312500
-0.49965,0.0332,0.0572,456774306079452.312500
-0.49964,0.034,0.0572,456774306079452.312500
-0.49963,0.034800000000000005,0.0572,456774306079452.312500
-0.49962,0.0308,0.058,456774306079452.312500
-0.49961,0.034,0.055600000000000004,456774306079452.312500
-0.4996,0.034,0.056400000000000006,456774306079452.312500
-0.49959,0.0308,0.0516,456774306079452.312500
-0.49958,0.0308,0.056400000000000006,456774306079452.312500
-0.49957,0.030000000000000002,0.0492,456774306079452.312500
-0.49956,0.030000000000000002,0.058,456774306079452.312500
