
12/12/2025, 12:33:36
Lambda (THz), Power (mW)
456774.483, 0.223
456774.483, 0.223
456774.483, 0.223
456774.482, 0.223
456774.482, 0.223
456774.482, 0.223
456774.481, 0.223
456774.481, 0.223
456774.481, 0.223
456774.481, 0.222
456774.480, 0.222
456774.480, 0.222
456774.480, 0.222
456774.479, 0.222
456774.479, 0.222
456774.480, 0.222
456774.480, 0.222
456774.479, 0.223
456774.480, 0.223
456774.480, 0.222
456774.480, 0.222
456774.479, 0.222
456774.479, 0.222
456774.479, 0.222
456774.479, 0.222
456774.479, 0.222
456774.479, 0.222
456774.479, 0.222
456774.479, 0.221
456774.479, 0.222
456774.478, 0.221
456774.477, 0.221
456774.477, 0.221
456774.476, 0.221
456774.476, 0.221
456774.475, 0.221
456774.475, 0.221
456774.474, 0.222
456774.474, 0.222
456774.475, 0.222
456774.474, 0.222
456774.473, 0.222
456774.473, 0.222
456774.472, 0.222
456774.472, 0.223
456774.472, 0.222
456774.472, 0.223
456774.472, 0.222
456774.472, 0.222
456774.471, 0.222
456774.471, 0.222
456774.471, 0.222
456774.471, 0.222
456774.471, 0.222
456774.470, 0.222
456774.471, 0.222
456774.471, 0.222
456774.471, 0.222
456774.471, 0.222
456774.470, 0.222
456774.470, 0.221
456774.470, 0.222
456774.470, 0.221
456774.470, 0.221
456774.469, 0.221
456774.470, 0.221
456774.469, 0.222
456774.469, 0.221
456774.469, 0.221
456774.469, 0.221
456774.469, 0.221
456774.468, 0.221
456774.467, 0.221
456774.467, 0.221
456774.467, 0.221
456774.466, 0.221
456774.467, 0.221
456774.466, 0.221
456774.466, 0.221
456774.466, 0.222
456774.466, 0.222
456774.467, 0.222
456774.467, 0.222
456774.467, 0.222
456774.466, 0.222
456774.467, 0.222
456774.466, 0.222
456774.466, 0.222
456774.466, 0.222
456774.467, 0.222
456774.467, 0.222
456774.468, 0.222
456774.467, 0.222
456774.467, 0.222
456774.467, 0.222
456774.467, 0.222
456774.467, 0.222
456774.466, 0.221
456774.466, 0.222
456774.466, 0.222
456774.466, 0.222
