
02/25/2026, 15:17:05
Lambda (THz), Power (mW)
456779.200, 0.012
456779.210, 0.012
456779.203, 0.012
456779.201, 0.012
456779.211, 0.012
456779.224, 0.012
456779.203, 0.012
456779.205, 0.012
456779.210, 0.012
456779.201, 0.012
456779.201, 0.012
456779.203, 0.012
456779.213, 0.013
456779.198, 0.012
456779.202, 0.012
456779.202, 0.012
456779.208, 0.012
456779.208, 0.012
456779.199, 0.012
456779.204, 0.012
456779.205, 0.012
456779.209, 0.012
456779.206, 0.012
456779.195, 0.012
456779.206, 0.012
456779.210, 0.013
456779.201, 0.012
456779.199, 0.012
456779.203, 0.012
456779.210, 0.012
456779.202, 0.012
456779.200, 0.012
456779.208, 0.012
456779.215, 0.012
456779.202, 0.012
456779.211, 0.012
456779.217, 0.012
456779.215, 0.012
456779.209, 0.012
456779.190, 0.012
456779.208, 0.012
456779.213, 0.012
456779.203, 0.012
456779.204, 0.012
456779.208, 0.012
456779.215, 0.012
456779.218, 0.012
456779.205, 0.012
456779.221, 0.012
456779.211, 0.012
456779.214, 0.012
456779.220, 0.012
456779.196, 0.012
456779.218, 0.012
456779.205, 0.012
456779.208, 0.012
456779.202, 0.012
456779.198, 0.013
456779.202, 0.013
456779.196, 0.012
456779.215, 0.012
456779.198, 0.012
456779.212, 0.012
456779.223, 0.012
456779.200, 0.012
456779.201, 0.012
456779.204, 0.012
456779.214, 0.012
456779.202, 0.012
456779.204, 0.012
456779.209, 0.012
456779.210, 0.012
456779.205, 0.012
456779.201, 0.012
456779.212, 0.012
456779.211, 0.012
456779.197, 0.012
456779.212, 0.012
456779.217, 0.012
456779.209, 0.012
456779.215, 0.012
456779.209, 0.012
456779.205, 0.012
456779.202, 0.012
456779.204, 0.012
456779.208, 0.012
456779.223, 0.012
456779.196, 0.012
456779.205, 0.012
456779.207, 0.012
456779.214, 0.012
456779.202, 0.012
456779.217, 0.012
456779.205, 0.012
456779.206, 0.012
456779.213, 0.012
456779.195, 0.012
456779.217, 0.012
456779.193, 0.012
456779.212, 0.012
456779.215, 0.012
456779.219, 0.013
456779.208, 0.012
456779.199, 0.012
456779.206, 0.012
456779.199, 0.012
456779.209, 0.012
456779.194, 0.012
456779.214, 0.012
456779.215, 0.012
456779.203, 0.012
456779.199, 0.012
456779.209, 0.012
456779.208, 0.012
456779.210, 0.012
456779.218, 0.012
456779.202, 0.012
456779.197, 0.012
456779.212, 0.012
456779.206, 0.012
456779.204, 0.012
456779.211, 0.012
456779.203, 0.012
456779.213, 0.012
456779.198, 0.012
456779.202, 0.012
456779.210, 0.012
456779.224, 0.012
456779.204, 0.013
456779.220, 0.012
456779.210, 0.012
456779.202, 0.012
456779.213, 0.012
456779.200, 0.012
456779.201, 0.012
456779.195, 0.012
456779.208, 0.012
456779.208, 0.012
456779.210, 0.012
456779.220, 0.012
456779.203, 0.012
456779.191, 0.012
456779.214, 0.012
456779.199, 0.012
456779.203, 0.012
456779.218, 0.012
456779.207, 0.012
456779.214, 0.012
456779.202, 0.012
456779.200, 0.012
456779.204, 0.012
456779.211, 0.012
456779.215, 0.012
456779.192, 0.012
456779.204, 0.012
456779.199, 0.012
456779.209, 0.012
456779.218, 0.012
456779.199, 0.012
456779.222, 0.012
456779.214, 0.012
456779.224, 0.012
456779.206, 0.012
456779.198, 0.012
456779.208, 0.012
456779.192, 0.012
456779.212, 0.012
456779.196, 0.012
456779.203, 0.012
456779.218, 0.012
456779.215, 0.012
456779.211, 0.012
