
03/04/2026, 11:35:03
Lambda (THz), Power (mW)
456779.384, 0.471
456779.465, 0.471
456779.481, 0.474
456779.459, 0.471
456779.521, 0.476
456779.434, 0.476
456779.448, 0.476
456779.437, 0.479
456779.390, 0.479
456779.457, 0.479
456779.418, 0.479
456779.468, 0.479
456779.524, 0.482
456779.439, 0.479
456779.483, 0.482
456779.438, 0.482
456779.402, 0.476
456779.444, 0.474
456779.389, 0.476
456779.462, 0.474
456779.495, 0.476
456779.455, 0.479
456779.496, 0.482
456779.433, 0.479
456779.417, 0.476
456779.432, 0.479
456779.374, 0.476
456779.459, 0.479
456779.465, 0.479
456779.456, 0.482
456779.519, 0.476
456779.428, 0.476
456779.439, 0.479
456779.436, 0.479
456779.370, 0.479
456779.449, 0.482
456779.406, 0.482
456779.462, 0.484
456779.528, 0.487
456779.439, 0.487
456779.477, 0.487
456779.427, 0.490
456779.393, 0.493
456779.447, 0.493
456779.388, 0.490
456779.464, 0.493
456779.510, 0.487
456779.443, 0.487
456779.499, 0.490
456779.430, 0.490
456779.419, 0.487
456779.436, 0.487
456779.374, 0.487
456779.465, 0.484
456779.454, 0.482
456779.464, 0.482
456779.520, 0.482
456779.436, 0.479
456779.459, 0.479
456779.435, 0.479
456779.391, 0.479
456779.453, 0.476
456779.418, 0.474
456779.469, 0.476
456779.508, 0.471
456779.440, 0.471
456779.485, 0.474
456779.434, 0.476
456779.416, 0.471
456779.442, 0.474
456779.388, 0.471
456779.462, 0.474
456779.470, 0.474
456779.459, 0.471
456779.504, 0.471
456779.442, 0.474
456779.452, 0.471
456779.438, 0.471
456779.384, 0.468
456779.464, 0.474
456779.425, 0.474
456779.463, 0.471
456779.511, 0.471
456779.434, 0.471
456779.474, 0.476
456779.430, 0.471
456779.414, 0.471
456779.454, 0.468
456779.390, 0.471
456779.459, 0.476
456779.504, 0.476
456779.460, 0.474
456779.492, 0.479
456779.435, 0.476
456779.442, 0.471
456779.440, 0.474
456779.390, 0.471
456779.457, 0.474
456779.452, 0.471
456779.461, 0.468
456779.507, 0.471
456779.433, 0.474
456779.449, 0.468
456779.435, 0.474
456779.387, 0.474
456779.464, 0.476
456779.412, 0.471
456779.476, 0.479
456779.522, 0.479
456779.436, 0.474
456779.486, 0.474
456779.442, 0.471
456779.412, 0.471
