detuning_uv_GHz,Transmission_BaselineCorrected,TransmissionErr_BaselineCorrected,Theory_NoBaseline
-10.648524578195065,0.992387994018719,0.0066772232675306265,0.9999575879719272
-10.480099405627698,1.000100383837757,0.006456356870382766,0.9999560396947099
-10.265740185044706,0.9969891639060852,0.006627235823571804,0.9999539422312987
-9.988743678550236,1.0013300746973735,0.00662005974485225,0.9999509995733664
-9.72845063218847,1.001092793345822,0.006407065567317806,0.9999479667458603
-9.404128487920389,1.0017148505608762,0.006418984487915392,0.9999437723350347
-9.064495244645514,1.0038762428704628,0.006441326651208246,0.9999388047588638
-8.745741323800758,1.0028250169348794,0.0065294635870215495,0.999933509941181
-8.399148884927854,0.9971944400391136,0.006436600184981187,0.9999269212371878
-8.051164773176424,1.0034929001935913,0.0061931889762786305,0.999919252434637
-7.685085774050094,0.9880928353023123,0.006118635270075864,0.999909779571837
-7.330142537597567,1.0052957293226605,0.0062901568986682265,0.9998988744630727
-6.966847981209867,0.994554522104549,0.006101316323762328,0.9998854798423831
-6.56597156485077,1.0004425240884625,0.006201931987289197,0.9998672728517483
-6.18179866252467,0.9862586483869346,0.006150161921964546,0.9998452864892218
-5.782314863987267,0.9970216665815611,0.006089787987348084,0.9998158477742933
-5.384223342873156,1.0072801615832003,0.0058561869662077,0.9997768748209167
-5.005619140807539,1.002130065413806,0.0059573018837254955,0.9997263789005911
-4.596392893232405,0.9922860930506253,0.005811149430768929,0.9996481599853042
-4.482255025417544,0.9933913515129219,0.005977118692660655,0.9996198384006512
-4.4307538020657375,0.9935556534575302,0.006016369033332893,0.9996058328227301
-4.366725261788815,1.0005031442002148,0.005964865791140647,0.9995872075603986
-4.345846391865052,1.0006919599407418,0.006092738398604491,0.9995808221478498
-4.304088655044325,0.993891261434055,0.005921948161912503,0.9995675539930081
-4.245627830037847,0.9902188434135377,0.006181184414376771,0.9995477725712832
-4.195518557098694,1.001590878050258,0.005934091829484519,0.9995295839787869
-4.162112378166057,0.996842662929794,0.006011320943770292,0.999516765190256
-4.127314278041013,1.009394664187085,0.00578733388040327,0.9995027601868004
-4.075813094386831,0.9962711593816409,0.006000152675918484,0.9994807144623405
-4.03683922952041,0.999060008033438,0.005882188076017037,0.9994628737373195
-3.993689597467892,1.0012181694437547,0.006206684387190218,0.999441821419065
-3.944972275639884,1.0034499975427102,0.005832853190512284,0.9994162044759027
-3.9101741918129846,0.9973370440302866,0.00601021209016181,0.9993965695961343
-3.86284880223684,0.9985098619376173,0.0058699882341324465,0.9993677954143161
-3.826658801641315,0.9918798821296555,0.005950409031470897,0.9993439869924093
-3.786293035140261,0.9938780723581108,0.005926765270417328,0.9993153242969178
-3.7347918901359662,0.9935665314129429,0.00601633132647315,0.9992750088318054
-3.6763311377726495,1.0036585901694166,0.006035450904662945,0.9992231393917728
-3.652668454335071,0.9967439205563585,0.005956104491070895,0.9991999771436574
-3.6053430911852047,0.9980952353731569,0.0058307753957034065,0.9991491715753487
-3.5705450335517526,0.9999461120857621,0.005987822532385812,0.999107509338538
-3.5343550560064614,0.9989556338419383,0.005954604316432547,0.999059498994074
-3.4870297054294497,1.0023861561536536,0.0059624249755606635,0.998988452781654
-3.4452720469562337,0.9976678388160642,0.005886442445513126,0.9989164368489779
-3.3882032533874735,0.9995780816019908,0.0059958363725079395,0.9988007128606968
-3.364540585083887,1.0015927105819955,0.006021757990632745,0.9987457343026739
-3.30747180164326,0.9917602139639818,0.0059702862761566505,0.998592899563118
-3.2754576089791954,1.007993853151222,0.00586214871463155,0.998492442661245
-3.2350918913725764,0.9946026952524035,0.005954427159033299,0.9983478945066008
-3.1766312030376866,0.9993842570251088,0.0060498868800886165,0.9980963613985765
-3.1432250986108556,0.9958761409895274,0.006038584868489742,0.9979260560228401
-3.1014674715697765,0.9980865897639852,0.005929357970417581,0.9976811039362722
-3.0374391177902,0.9961134173637081,0.005999375981425435,0.9972229086001158
-3.036047197179869,1.0018845355305526,0.0058859125668534054,0.9972116372356077
-2.9789784548338503,0.994431301591623,0.005950734901455715,0.9966994721808246
-2.9483562058303505,0.9926346066294045,0.00577086496204712,0.9963776818240097
-2.8912874741945416,0.998366773769301,0.006047589777616563,0.9956769191907991
-2.831434909836389,0.9959214779812373,0.005846161375721592,0.994778155509026
-2.7966369109926745,0.9973122799907356,0.006014205823499346,0.9941669862368144
-2.7548793157329783,0.992401760479283,0.00581866514452261,0.993337949429999
-2.736784358974546,0.9923900241686926,0.00591490779855356,0.9929438577952326
-2.6824994932394475,0.9984119083369302,0.005866383495702584,0.9916239486873605
-2.651877263793722,0.9954196720146528,0.0059792184687810935,0.9907821838393939
-2.6045520046027377,0.9877104286442927,0.006067119528976334,0.9893317681331385
-2.525212610140443,0.987863588130205,0.0060204026256833335,0.9864640882293167
-2.4987661484628916,0.9898472412673328,0.00594420244477028,0.985380205121288
-2.4124671787722036,0.9856190221298108,0.005885955245589489,0.9813732074579521
-2.3888045609928668,0.9785636672308704,0.005885580846025243,0.9801485395511408
-2.320600551669486,0.9813934994236342,0.0057515452971770315,0.9763168208359683
-2.309465204249136,0.9860715788139244,0.005981414223532517,0.9756499341520588
-2.2802349182311445,0.9705530840337462,0.005814127622030285,0.9738460964676787
-2.248220797860995,0.9729161980889817,0.005842490768200053,0.9717852891780376
-2.206463252659887,0.9731005929609982,0.005702887743431878,0.9689738837532883
-2.159138039452955,0.9645267584323838,0.0057396536261212034,0.9656381854776176
