parameter,status,value,error
Temp,FIT,146.50841664989466,3.118070968761702
AgNumberDensity,FIT,9685413224490166.0,34800229149849.17
a,FIT,0.42782823826024813,0.0018098213636181485
shift107,DEFAULT,229.24,0.0
shift109,DEFAULT,-246.76,0.0
delta_f,FIT,0.9713514197078698,0.0020405745945558567
b0,FIT,1.0289670947761185,0.0007829548739063525
b1,FIT,0.001537826438993185,0.0001170936545795482
b2,FIT,-0.00010746582776494589,2.3787775225369e-05
