parameter,status,value,error
Temp,FIT,132.1495554955768,6.059052671603548
AgNumberDensity,FIT,4231463749031380.0,33078300375796.01
a,FIT,0.4283624687089428,0.0038152869772939495
shift107,DEFAULT,229.24,0.0
shift109,DEFAULT,-246.76,0.0
delta_f,FIT,0.9552123294200439,0.003947005608561715
b0,FIT,1.0231966529891003,0.0007764904509685017
b1,FIT,0.0023150703649908234,0.00011595780650490667
b2,FIT,-0.0001681659356819617,2.3702482169009378e-05
