parameter,status,value,error
Temp,FIT,131.94684179000848,4.465941731279467
AgNumberDensity,FIT,1.1164279110852828e+16,1.4423188984471952e-12
a,FIT,0.4194335550605204,0.0020883951238999943
shift107,DEFAULT,229.24,0.0
shift109,DEFAULT,-246.76,0.0
delta_f,FIT,-1.1526822926640978,0.0029184932981288292
b0,TAIL-FIT,1.1634329658532025,0.0
b1,TAIL-FIT,0.0002429613798194231,0.0
b2,TAIL-FIT,-0.00032439315757500195,0.0
b3,TAIL-FIT,-6.333539795836227e-05,0.0
b4,TAIL-FIT,2.4199920821660434e-06,0.0
b5,TAIL-FIT,2.979785215990495e-07,0.0
