Transmission2,Transmission2err
0.3297949053994775,0.009525067045346235
0.33071435514335207,0.009536508025027585
0.3312647431717236,0.00913117315859253
0.33263573025220217,0.009976502825642048
0.2993475574569765,0.008545052612069821
0.29833563765905935,0.009482160401315195
0.28171039511051066,0.008851484980175952
0.2515726522987508,0.007735350728011636
0.22471517652088976,0.007930579119030213
0.19321833927534227,0.0076780338429914075
0.17875459777317354,0.0077081832945776274
0.15016963880267936,0.0077524055099467875
0.13126469273568164,0.007230097305971268
0.11118718929187,0.007230623259891838
0.10310628960721205,0.007598441995729388
0.10909885725943128,0.008035369431367493
0.09631691951080779,0.007365427078071724
0.08950208767389366,0.0073814127720341375
0.10406582050351662,0.007431925930394461
0.10988556684760255,0.007816349702859942
0.11282981827716392,0.00732230349098093
0.14331430849838966,0.008054972631237393
0.16337391625917985,0.007817512496628128
0.17480547274305774,0.007353419380336278
0.19476682867242331,0.008100363878723935
0.19386864357101324,0.008415795421545271
0.22085810269007788,0.00931345543453733
0.2030332069458702,0.008357924503674551
0.21932111890014483,0.00862812084473923
0.21413277465745315,0.008539406518337905
0.22254020211107442,0.008246028704453007
0.21973295276429514,0.008601686684493275
0.2205413756836592,0.008263786848849786
0.2248703510422363,0.008839785979564637
0.24758442546820497,0.00953294256978438
0.23986626582434376,0.009414127906846282
0.2606855261065873,0.008755189070164622
0.2753850850780588,0.009779566200683874
0.28637589738965025,0.01006621163742425
0.2889190492322538,0.010196174814954799
0.2861607193068605,0.009437704239913138
0.3159360566532421,0.009969506797118168
0.3165531658439909,0.009455876269829064
0.3009569209676387,0.008791207284739694
0.3139689163068889,0.009978058488292458
0.3119286533707002,0.009859796529774634
0.32322294551641323,0.010776704869611213
0.30553851431649703,0.009940429579452063
0.3234709850302874,0.01004457973628281
0.3124830288003869,0.009246556907041941
0.3265498576928136,0.00982328120965834
