Transmission,Transmissionerr,Powers
3.422531732075597,0.9390160327188429,2.157
3.493709248963846,0.9544149180925435,2.157
3.305521029137488,0.9392542608764887,2.157
1.5170360921023023,0.7288775203441773,0.982
1.5249589529158618,0.7319412436824904,0.982
1.4713799863845303,0.7306152066743632,0.982
0.8878677989282533,0.6110418119007076,0.466
0.8470318990653659,0.6081882331941263,0.466
0.8470361520422989,0.6105059690812147,0.466
5.105376280363122,0.8838772654446021,4.5600000000000005
5.111623337402056,0.8731493248772296,4.5600000000000005
4.960900630059162,0.820114576367393,4.5600000000000005
4.008061106443235,0.27861541850600774,8.371
3.9329201484373004,0.25205574628369165,8.371
3.927268365233818,0.2540929852873832,8.371
3.727466584313505,0.14947091767916448,10.16
3.7586549354049184,0.14624349876944923,10.16
3.8558845097022525,0.16048795470830424,10.16
3.486702810946154,0.08620119700194545,13.972
3.4872079747357674,0.08575687145960889,13.972
3.495468110641432,0.08415320228601067,13.972
3.558789535383262,0.05577649589206088,21.465
3.5510312943454956,0.05847476713562768,21.465
3.549689875964839,0.052260169144613344,21.465
3.5096227288408146,0.043929249182494814,26.907
3.463841102924015,0.043521695729497274,26.907
3.476594059278602,0.04286278321675696,26.907
3.577446005521662,0.03532268208954848,33.721
3.5672322130660654,0.03601475446721512,33.721
3.5968424790063698,0.037436975300048865,33.721
