Transmission,Transmissionerr
1.183435044186737,0.013426741352522462
1.194828483761063,0.014305713355552618
1.1961245853221332,0.014733918385562811
1.1980479105142765,0.015582281401619847
1.2045571431271636,0.01522299805579525
1.2136345781964226,0.013492942986532053
1.2200900763269142,0.01378291595591231
1.2240827756195116,0.014379577324396577
1.232635127959553,0.012648856090595786
1.2483209328277114,0.012365546921762616
1.253181053466328,0.012396039346282278
1.266854741727402,0.01219992607222035
1.2669614747055902,0.012373488962245032
1.2732524698011676,0.012252572104192647
1.2769395233829428,0.012051589010826882
1.2776336640398727,0.012367953105632108
1.2813023707147422,0.012472784289831706
1.2853127409145382,0.012281787938718852
1.284732025955754,0.012054537109264627
1.2910931610011889,0.011802034437482754
1.2908608599900369,0.012081813919875829
1.2861319928592014,0.011504653361537373
1.291632055182615,0.011604793029618851
1.2933987684110893,0.01183479247431273
1.2879352245003965,0.010681139140463857
1.2893214975735852,0.011085985588226984
1.297430770061652,0.010849009147721803
1.2943000223182888,0.01126298078185521
1.297949942184909,0.010636818761715959
1.3030769555333221,0.011255496065286747
1.2941466353874276,0.010960891189513362
1.2995978055261945,0.010459100702565666
1.3026686606028028,0.011045545533405528
1.3045320377923757,0.010797186599312532
1.2912356700051586,0.011075962965126229
1.2892540939631862,0.011166829453889172
1.2992003254363507,0.010744256735045086
1.3013469042171082,0.011064540344231868
1.2967904289466894,0.010561899842065606
1.3002102852259811,0.01057650067772658
1.2913398157166536,0.010146842798697155
1.2949184817490222,0.010557700981690168
1.299021116264598,0.010739514925906104
1.2990414929830514,0.011001245508932526
1.2939152237191944,0.011466196773617576
1.2994377585210382,0.011355058456113584
1.299720082382536,0.011830682996635264
1.2936436312719817,0.012077306090641362
1.3002020743048865,0.011581363436842906
1.3028945119439153,0.011819810710114738
1.2884866307733587,0.01156230280510006
1.2932283383254124,0.01176359258092036
1.299852431076782,0.011039528563242028
1.3003919841838307,0.010811995584135294
1.297294081621458,0.010886570410101016
1.2945467407989466,0.010134589811605758
1.2912830632194618,0.009818220976742235
1.2866362847982993,0.00968924063098677
1.2843471474188004,0.010009800938173372
1.2936353397950973,0.010185210261868978
1.283087611309412,0.010329402743149632
1.2765730985212846,0.010976584735865534
1.273117649071445,0.010203029216518727
1.2678502540765648,0.01013133912003088
1.2586638675905146,0.009728464816006753
1.250536181927979,0.009841909694755291
1.2487645059057788,0.01048852285491483
1.2330364261342073,0.010054120610091394
1.224505292403229,0.010252220291431701
1.2041642990724617,0.010018401308507863
1.1974679871315175,0.010364761569045635
1.1869105988430755,0.009840537679115401
1.1692161328220105,0.010136518268719093
1.1468325377237498,0.010513444725232739
1.125249235373401,0.009942544714806925
1.102133999255023,0.010458813459147946
1.0765170108184416,0.010029602562806461
1.0519802991036562,0.010112903599447096
1.0196029281581709,0.009948667770383543
0.9882554528175721,0.009873975071158284
0.9568820116568878,0.009749813826640785
0.9209095704228238,0.008984462895718932
0.8854030221669291,0.008979405739475806
0.85064200277836,0.008766881699673731
0.8090925047661771,0.009146663957538374
0.7706309769300249,0.009163570983685441
0.734521249826508,0.008577765790359706
0.6952371240139928,0.008508025175268073
0.6588368105672594,0.007946192527763846
0.6266004789005465,0.007487012294343342
0.594616003216884,0.007021621782526788
0.5644314069831546,0.007102870338581784
0.5357072883992572,0.007266255515848609
0.509961275915061,0.006965188341834092
0.4862160376576998,0.007138964569261022
0.4591515343868223,0.006949858450130373
0.43858868179083643,0.007192251225297259
0.41906946753601193,0.007301765714213607
0.4027882089745735,0.0068759965652225395
0.38911979218010134,0.006863141494593092
0.37686885777612594,0.0066581071860994535
0.37022085118243614,0.006935304628440048
0.36086454503585497,0.006817145320051133
0.35353542110013675,0.007138931685441977
0.35149680840778863,0.007576768824960512
0.3504134753272659,0.007410259578156704
0.3520555093291824,0.007561462056013622
0.3539097495177471,0.007291695372118848
0.3591025161802728,0.007335048330056607
0.3678011935137383,0.007199286513455339
0.3743415853825416,0.007310654368853103
0.3887228801772493,0.007208347607022875
0.39839615350878754,0.007244206555612259
0.4126021599700389,0.006932098203468612
0.42699258008337726,0.006966735805390235
0.4483806554847678,0.006905952130527844
0.4650689022538712,0.006995121867388119
0.48226912765362295,0.006731617573502661
0.503146301880819,0.006721784517851434
0.524167071697378,0.006372051220753229
0.5467967391677103,0.006322312469688099
0.5684053371566286,0.006090301151053117
0.5863803922254646,0.006034359631401618
0.6111805877692766,0.005799110580173369
0.6317042464631883,0.005778824264506498
