detuning_uv_GHz,Transmission_BaselineCorrected,TransmissionErr_BaselineCorrected,Theory_NoBaseline,Residuals_Norm
-10.274091841070913,1.002993303667001,0.006090493984089334,0.9993031785058167,0.6058827364125412
-10.253212701180018,0.9923432562803082,0.005926112238297427,0.9992999509228389,-1.1739053130943298
-10.214238309417851,0.9953275255017607,0.0060425028998851715,0.9992938654044436,-0.6564067851350618
-10.194751114584506,1.0078826770146438,0.0059348994169926466,0.9992907925871473,1.4476882966030615
-10.152992843068205,0.9921179506075248,0.006002271919554548,0.9992841391639171,-1.193912680471183
-10.144641189253889,1.007082108139113,0.005909599449704424,0.9992827972918844,1.3197697938087356
-10.10288292216137,1.000822420586841,0.006089629766245745,0.9992760296941923,0.25393840873877804
-10.063908543204889,0.9969854971821425,0.00593021373978168,0.9992696258135733,-0.3851680110799654
-10.030501935165375,1.0045588812344861,0.006345988738442848,0.9992640682274588,0.8343558782183556
-10.001271155197173,1.0049095062905768,0.006076844279946038,0.9992591525275012,0.9298171061783123
-9.987351736752316,1.0018273328900151,0.006097086176416092,0.9992567949503842,0.42160105093707106
-9.956729017896578,1.0031317041254375,0.0059683128077528,0.9992515663908546,0.6501230514497635
-9.91775465128012,0.9886620731585699,0.006289551888089516,0.9992448311463081,-1.6825933192122515
-9.88156417105347,1.0024260638212854,0.00605524373510593,0.9992384937531411,0.5264148245039277
-9.848157576285303,1.001427097920213,0.006196265079774125,0.9992325731618146,0.3541689598725685
-9.828670397168025,0.9928596256525265,0.0059162331629698745,0.9992290867859244,-1.07660752339255
-9.781344394315965,0.9991926035568836,0.006158575972119131,0.9992205192046543,-0.004532808866383085
-9.745153924799524,0.9927368745085428,0.005985720155234815,0.9992138703419651,-1.0820746151585212
-9.732626455370337,0.9997311137529961,0.0062039297097545975,0.9992115484117732,0.0837477801216795
-9.703395694377832,1.006189167723898,0.00612478727048258,0.9992060906781672,1.1401338099340488
-9.678340758080594,0.9986969018503044,0.006141615938445104,0.9992013673425585,-0.0821388861352104
-9.642150296713226,0.998230905939801,0.006067737735515434,0.9991944679932989,-0.1588008736531277
-9.603175956872292,0.9997006702143291,0.006232032730912611,0.9991869369872107,0.08243429540574795
-9.55306609638501,1.0103676293182393,0.005962847202585129,0.9991770963307727,1.8767096669213834
-9.53636281087529,1.004755632718036,0.006093852741158641,0.9991737765778625,0.9159814615264541
-9.497388479998335,0.9963642272859099,0.006012687450948734,0.9991659497629384,-0.4659684209240576
-9.445886691100895,0.9992744120537703,0.0062202151457813335,0.9991554330162363,0.01912780100776559
-9.430575349368155,1.0008323345401333,0.006044181832644564,0.9991522672390137,0.27796438751156605
-9.423615648876876,0.9969039020165066,0.006203204302474917,0.999150822512555,-0.36221932834809306
-9.36654610838741,1.0026157254858425,0.0062549187246175786,0.9991388342788007,0.555865129527233
-9.337315370794386,1.0047161573754024,0.006262810090498911,0.9991325940058954,0.8915428200477733
-9.317828213679604,0.9999037402215845,0.006026359170796506,0.9991283953918397,0.12865891457349876
-9.273286142968573,1.003597126902564,0.006193105453685378,0.9991186817783534,0.7231340008179051
-9.224568258039653,1.0013967193653166,0.006012822884657589,0.999107869185286,0.3806615002532039
-9.195337529759854,1.0022718043514514,0.006244873880447588,0.9991012847933013,0.5076995338651779
-9.182810075231828,1.009009011967865,0.006289243780593529,0.999098439763083,1.5757971149667687
-9.14244383550249,1.0130719549318328,0.006299283979698617,0.9990891803670595,2.2197403085552354
-9.109037294867449,0.9959450878263534,0.005973296481281132,0.999081408203465,-0.5250568738618812
-9.089550147182308,0.9977766779923364,0.006240461270624446,0.9990768275213737,-0.20834189535916212
-9.051967793609947,1.0003274664549333,0.006005318775751837,0.9990678948533888,0.2097426712184582
-9.017169320839457,1.0063164069364448,0.006332470522603246,0.999059507636571,1.1459823261665096
-8.967059524613433,1.0049913683911094,0.005990394562354264,0.999047225757861,0.9922789845269051
-8.940612690057606,1.0029598443999816,0.00613150880413465,0.9990406441325174,0.6391901883630106
-8.916949733858928,1.0109039045600645,0.006349382219257606,0.9990346986787784,1.8693481462317671
-8.866839948575944,0.9997543481818812,0.006117800674989154,0.9990219197496698,0.11972087211107757
-8.845960873062722,1.005383620690776,0.0063010885193965456,0.9990165188447252,1.0104764956802421
-8.806986601208337,1.0029107480506865,0.006096400886653894,0.9990063161992152,0.6404486719399908
-8.765228456584737,1.0065690867264079,0.006533936132186045,0.9989952044018453,1.1591607526210388
-8.742957447655499,1.0074827098292833,0.006242963864895952,0.99898920046903,1.3604931157798634
-8.691455743741244,0.9992243073934164,0.006365592005552216,0.9989751071074949,0.0391480141523522
-8.62046691798605,1.0023016914839937,0.006325770291087634,0.9989551864521302,0.5290272769750106
-8.598195916041732,1.00072012148966,0.006197267702211465,0.9989488160309139,0.2858203879290159
-8.557829728000797,1.0066676743096596,0.006544986556765692,0.9989371171400028,1.1811417949614624
-8.52859904221259,0.9980616697000804,0.006015707153545953,0.9989285210492608,-0.14409799663692802
-8.481273174053058,1.0041683332819422,0.006333929318805477,0.9989143776852872,0.8294938784769751
-8.453434430295601,1.005148592924615,0.006007747044517153,0.9989059255665691,1.0391028969408818
