parameter,status,value,error
Temp,FIT,805.1933557372313,10.560137773457335
AgNumberDensity,FIT,1.5131026432599438e+16,6.640465639733582e-07
a,FIT,0.3834687372017913,0.0027349071053730935
shift107,DEFAULT,229.24,0.0
shift109,DEFAULT,-246.76,0.0
delta_f,FIT,0.8544311473394386,0.0038292034278328397
b0,FIT,1.1929194012585775,0.0017162525305153302
b1,FIT,-0.042680689097040904,0.0008843060147467691
b2,FIT,0.003991567049252867,0.00022029302947198254
b3,FIT,0.00034669809238754905,7.846663005757625e-05
b4,FIT,-0.00013864461725559903,6.1928585868516145e-06
b5,FIT,6.810753919577885e-06,1.742478560451686e-06
b6,FIT,9.669690917329124e-07,4.6189293235653415e-08
b7,FIT,-6.72929923276828e-08,1.1006681932917208e-08
