parameter,status,value,error
Temp,FIT,85.08697135956118,21.962146685860006
AgNumberDensity,FIT,1000000000000004.1,31170740564812.76
a,FIT,0.4832695615735703,0.013085715102207544
shift107,DEFAULT,229.24,0.0
shift109,DEFAULT,-246.76,0.0
delta_f,FIT,0.9742393543809504,0.014810396081038167
b0,FIT,1.0078826081243744,0.0007534313092262754
b1,FIT,-0.00014203230434407303,0.00011481105260353825
b2,FIT,-0.00011841065741952813,2.3885244920355348e-05
