Transmission,Transmissionerr
7.022443991853332,0.06147869568380306
38.67937567020162,1.9262797508627494
13.341528368932952,0.21891972063383694
8.344361478077747,0.08513194457265601
13.467176270200762,0.23470440285120728
6.742978540772516,0.06212749560840575
15.557074750382437,0.29238514568127627
14.429781847335155,0.25575401738999937
10.7109766509521,0.16717222749256747
18.77899813657728,0.4321369913782845
14.829706742269963,0.2757435741324581
16.465964308750333,0.3704419544158704
8.458912428403849,0.122768272901673
3.3834213006597142,0.06724203896548409
5.969360951045965,0.12975977186695706
158.34388366127294,56.280141613971615
12.280575294184432,0.2934178525079818
39.35077764976735,2.359654069288138
10.034932391112298,0.14445030230497463
24.023047056996067,0.7792548968341482
14.84275013120837,0.29739333374505156
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
1.1754926181097078,0.0020196050676153363
2.2629793511869907,0.003881085234963433
3.291905154664878,0.0056022054218463286
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
inf,
