parameter,status,value,error
Temp,FIT,159.10993455849098,9.549674604742467
AgNumberDensity,FIT,1.7190218236417466e+16,3.760624552843047e-09
a,FIT,0.4510829400435098,0.004190315521598028
shift107,DEFAULT,229.24,0.0
shift109,DEFAULT,-246.76,0.0
delta_f,FIT,1.1157572716790067,0.006531192414185598
b0,FIT,0.32452932277168967,0.001275017299011901
b1,FIT,0.0013089449962897458,0.00046900681170502736
b2,FIT,-0.0002971111971232145,0.00011982609641629911
b3,FIT,8.037822832514277e-06,7.32900837752077e-06
b4,FIT,3.420989801159556e-06,1.462733191061311e-06
