parameter,status,value,error
Temp,FIT,366.92541414884346,2.8856272784691726
AgNumberDensity,FIT,9232496374693242.0,25765246006573.05
a,FIT,0.2329875028680111,0.002026350583909433
shift107,DEFAULT,229.24,0.0
shift109,DEFAULT,-246.76,0.0
delta_f,FIT,0.9426761361712228,0.0014814960506285804
b0,FIT,1.1787722052969765,0.0006245662109694393
b1,FIT,0.0019680942785663767,8.853446871465017e-05
b2,FIT,0.00029583269339296836,1.801710559943126e-05
